"Geographic code","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Geographic code, Census division","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",
"12090030","Nova Scotia","Nouvelle-Écosse",12,1209,9757,F,3777,3651,23.45,416.0
"12090032","Nova Scotia","Nouvelle-Écosse",12,1209,7362,F,3656,3385,4.50,1636.7
"12090033","Nova Scotia","Nouvelle-Écosse",12,1209,203,F,123,120,0.19,1079.8
"12090035","Nova Scotia","Nouvelle-Écosse",12,1209,5301,F,3053,2730,2.83,1871.2
"12090036","Nova Scotia","Nouvelle-Écosse",12,1209,5876,F,2856,2621,1.88,3132.7
"12090037","Nova Scotia","Nouvelle-Écosse",12,1209,7514,F,2868,2796,24.32,309.0
"12090038","Nova Scotia","Nouvelle-Écosse",12,1209,12010,F,5144,4574,390.05,30.8
"12090039","Nova Scotia","Nouvelle-Écosse",12,1209,5036,F,3290,2802,0.83,6035.5
"12090040","Nova Scotia","Nouvelle-Écosse",12,1209,8601,F,6263,5140,1.62,5309.6
"12090042","Nova Scotia","Nouvelle-Écosse",12,1209,9552,F,3660,3559,57.20,167.0
"12090043","Nova Scotia","Nouvelle-Écosse",12,1209,11524,F,4893,4809,2.82,4089.7
"12090044","Nova Scotia","Nouvelle-Écosse",12,1209,5062,F,2658,2501,0.89,5681.9
"12090045","Nova Scotia","Nouvelle-Écosse",12,1209,5631,F,2912,2564,0.81,6970.8
"12090046","Nova Scotia","Nouvelle-Écosse",12,1209,7726,F,4711,3961,2.85,2713.4
"12090047","Nova Scotia","Nouvelle-Écosse",12,1209,12101,F,6056,5626,3.23,3745.9
"12090048","Nova Scotia","Nouvelle-Écosse",12,1209,6680,F,3113,2908,5.48,1219.6
"12090049","Nova Scotia","Nouvelle-Écosse",12,1209,8232,F,4451,4314,2.47,3337.7
"12090050","Nova Scotia","Nouvelle-Écosse",12,1209,8626,F,3659,3438,193.67,44.5
"12090051","Nova Scotia","Nouvelle-Écosse",12,1209,10062,F,4600,4295,17.22,584.2
"12090052","Nova Scotia","Nouvelle-Écosse",12,1209,9077,F,4622,4372,3.88,2339.6
"12090053","Nova Scotia","Nouvelle-Écosse",12,1209,6769,F,3033,2702,207.36,32.6
"12090054","Nova Scotia","Nouvelle-Écosse",12,1209,6796,F,3893,3063,2.98,2278.2
"12090055","Nova Scotia","Nouvelle-Écosse",12,1209,5043,F,2403,2108,1.32,3812.4
"12090056","Nova Scotia","Nouvelle-Écosse",12,1209,8138,F,4360,3988,2.93,2774.3
"12090057","Nova Scotia","Nouvelle-Écosse",12,1209,8272,F,4201,3959,3.42,2417.8
"12090058","Nova Scotia","Nouvelle-Écosse",12,1209,6104,F,3662,3251,2.13,2871.8
"12090059","Nova Scotia","Nouvelle-Écosse",12,1209,11426,F,5720,5379,9.43,1212.2
"12090060","Nova Scotia","Nouvelle-Écosse",12,1209,5146,F,3202,2872,2.62,1966.7
"12090061","Nova Scotia","Nouvelle-Écosse",12,1209,8644,F,3637,3429,10.52,821.6
"12090062","Nova Scotia","Nouvelle-Écosse",12,1209,6152,F,2429,2341,71.77,85.7
"12090063","Nova Scotia","Nouvelle-Écosse",12,1209,7886,F,4730,4244,21.19,372.1
"12090064","Nova Scotia","Nouvelle-Écosse",12,1209,7604,F,3220,3060,15.02,506.3
"12090066","Nova Scotia","Nouvelle-Écosse",12,1209,9166,F,5787,4113,2956.97,3.1
"12092000","Nova Scotia","Nouvelle-Écosse",12,1209,10,F,3,3,0.44,22.8
"12100001","Nova Scotia","Nouvelle-Écosse",12,1210,6831,F,3845,2918,821.40,8.3
"12100002","Nova Scotia","Nouvelle-Écosse",12,1210,5078,F,2229,2086,414.22,12.3
"12100003","Nova Scotia","Nouvelle-Écosse",12,1210,13098,F,6031,5451,1446.58,9.1
"12100004","Nova Scotia","Nouvelle-Écosse",12,1210,3459,F,2219,1505,877.38,3.9
"12100005","Nova Scotia","Nouvelle-Écosse",12,1210,7625,F,3490,3286,12.91,590.6
"12100006","Nova Scotia","Nouvelle-Écosse",12,1210,12261,F,6574,6052,34.49,355.5
"12100007","Nova Scotia","Nouvelle-Écosse",12,1210,860,F,309,302,3.53,243.4
"12100008","Nova Scotia","Nouvelle-Écosse",12,1210,1373,F,681,629,17.62,77.9
"12110001","Nova Scotia","Nouvelle-Écosse",12,1211,5345,F,3977,2389,1065.05,5.0
"12110002","Nova Scotia","Nouvelle-Écosse",12,1211,5268,F,4003,2321,898.15,5.9
"12110003","Nova Scotia","Nouvelle-Écosse",12,1211,9413,F,4745,4372,12.07,779.7
"12110004","Nova Scotia","Nouvelle-Écosse",12,1211,9979,F,5720,4532,2302.58,4.3
"12120001","Nova Scotia","Nouvelle-Écosse",12,1212,9261,F,5490,4173,779.24,11.9
"12120002","Nova Scotia","Nouvelle-Écosse",12,1212,8443,F,4546,3651,1255.36,6.7
"12120003","Nova Scotia","Nouvelle-Écosse",12,1212,0,F,0,0,0.23,0.0
"12120004","Nova Scotia","Nouvelle-Écosse",12,1212,485,F,158,154,1.54,314.8
"12120005","Nova Scotia","Nouvelle-Écosse",12,1212,8648,F,3975,3653,776.73,11.1
"12120006","Nova Scotia","Nouvelle-Écosse",12,1212,9075,F,4640,4208,9.96,911.6
"12120007","Nova Scotia","Nouvelle-Écosse",12,1212,7836,F,3716,3466,23.22,337.4
"12130001","Nova Scotia","Nouvelle-Écosse",12,1213,7625,F,5190,3549,4044.15,1.9
