cause_of_death,date,Date-month,Year ,dead,missing,dead_and_missing,location,latitude,longitude,,
lack of medical care,2004-08-02T00:00:00Z,2004 -- 8,2004,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2004-04-03T00:00:00Z,2004 -- 4,2004,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2004-02-08T00:00:00Z,2004 -- 2,2004,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2004-11-03T00:00:00Z,2004 -- 11,2004,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-09-17T00:00:00Z,2003 -- 9,2003,0,0,2,ceuta,35.888384,-5.324636,,
drowned,2003-07-31T00:00:00Z,2003 -- 7,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-06-24T00:00:00Z,2003 -- 6,2003,0,0,1,ceuta,35.888384,-5.324636,,
lack of medical care,2003-03-01T00:00:00Z,2003 -- 3,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-02-02T00:00:00Z,2003 -- 2,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-11-22T00:00:00Z,2003 -- 11,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-10-25T00:00:00Z,2003 -- 10,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-10-02T00:00:00Z,2003 -- 10,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-01-16T00:00:00Z,2003 -- 1,2003,1,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-01-15T00:00:00Z,2003 -- 1,2003,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2003-01-05T00:00:00Z,2003 -- 1,2003,0,0,2,ceuta,35.888384,-5.324636,,
suicide - hanged,2002-07-02T00:00:00Z,2002 -- 7,2002,0,0,1,ceuta,35.888384,-5.324636,,
unknown,2002-01-06T00:00:00Z,2002 -- 1,2002,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2001-09-07T00:00:00Z,2001 -- 9,2001,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2001-08-09T00:00:00Z,2001 -- 8,2001,0,0,1,ceuta,35.888384,-5.324636,,
suicide,2001-12-26T00:00:00Z,2001 -- 12,2001,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2001-11-24T00:00:00Z,2001 -- 11,2001,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2000-09-05T00:00:00Z,2000 -- 9,2000,0,0,9,ceuta,35.888384,-5.324636,,
drowned,2000-08-11T00:00:00Z,2000 -- 8,2000,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2000-07-23T00:00:00Z,2000 -- 7,2000,0,0,2,ceuta,35.888384,-5.324636,,
suicide - hanged,2000-07-22T00:00:00Z,2000 -- 7,2000,0,0,1,ceuta,35.888384,-5.324636,,
lack of medical care,2000-04-29T00:00:00Z,2000 -- 4,2000,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2000-04-11T00:00:00Z,2000 -- 4,2000,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2000-03-24T00:00:00Z,2000 -- 3,2000,0,0,1,ceuta,35.888384,-5.324636,,
asphyxiated,2000-03-21T00:00:00Z,2000 -- 3,2000,0,0,3,ceuta,35.888384,-5.324636,,
drowned,2000-12-26T00:00:00Z,2000 -- 12,2000,0,0,1,ceuta,35.888384,-5.324636,,
unknown,2000-12-15T00:00:00Z,2000 -- 12,2000,0,0,1,ceuta,35.888384,-5.324636,,
frozen,2000-12-13T00:00:00Z,2000 -- 12,2000,0,0,1,ceuta,35.888384,-5.324636,,
illness,2000-12-08T00:00:00Z,2000 -- 12,2000,0,0,4,ceuta,35.888384,-5.324636,,
starved,2000-11-24T00:00:00Z,2000 -- 11,2000,0,0,1,ceuta,35.888384,-5.324636,,
frozen,2000-01-11T00:00:00Z,2000 -- 1,2000,0,0,1,ceuta,35.888384,-5.324636,,
drowned,2000-01-11T00:00:00Z,2000 -- 1,2000,0,0,3,ceuta,35.888384,-5.324636,,
suicide - other,2000-01-04T00:00:00Z,2000 -- 1,2000,0,0,1,ceuta,35.888384,-5.324636,,
asphyxiated,2000-01-03T00:00:00Z,2000 -- 1,2000,0,0,1,ceuta,35.888384,-5.324636,,
lack of medical care,2016-05-12T00:00:00Z,2016 -- 5,2016,1,0,1,Ceuta,35.89473,-5.32132,,
unknown,2007-09-25T00:00:00Z,2007 -- 9,2007,0,0,1,ceuta,35.98,-5.32,,
starved,2015-10-26T00:00:00Z,2015 -- 10,2015,1,0,1,Ceuta,35.9,-5.31,,
drowned,2015-10-09T00:00:00Z,2015 -- 10,2015,2,0,2,Ceuta,35.9,-5.3,,
unknown,2015-08-02T00:00:00Z,2015 -- 8,2015,4,0,4,near Ceuta,35.9,-5.3,,
drowned,2015-09-06T00:00:00Z,2015 -- 9,2015,1,0,1,Ceuta,35.9,-5.2,,
drowned,2010-08-26T00:00:00Z,2010 -- 8,2010,0,0,37,Marocco to Spain,35.964373,-5.196533,,
drowned,2008-05-09T00:00:00Z,2008 -- 5,2008,0,0,1,Marocco to Spain,35.964373,-5.196533,,
frozen,2006-02-21T00:00:00Z,2006 -- 2,2006,0,0,16,Marocco to Spain,35.964373,-5.196533,,
frozen,2006-12-07T00:00:00Z,2006 -- 12,2006,0,0,5,Marocco to Spain,35.964373,-5.196533,,
drowned,2002-01-01T00:00:00Z,2002 -- 1,2002,0,0,2,Marocco to Spain,35.964373,-5.196533,,
car accident,2000-05-07T00:00:00Z,2000 -- 5,2000,0,0,1,Marocco to Spain,35.964373,-5.196533,,
suicide - hanged,2000-01-07T00:00:00Z,2000 -- 1,2000,0,0,1,Marocco to Spain,35.964373,-5.196533,,
unknown,2011-01-25T00:00:00Z,2011 -- 1,2011,0,0,1,estepona,36.42985,-5.149141,,
drowned,2011-01-21T00:00:00Z,2011 -- 1,2011,0,0,1,estepona,36.42985,-5.149141,,
drowned,2008-04-09T00:00:00Z,2008 -- 4,2008,0,0,2,estepona,36.42985,-5.149141,,
drowned,2008-10-04T00:00:00Z,2008 -- 10,2008,0,0,2,estepona,36.42985,-5.149141,,
drowned,2004-12-29T00:00:00Z,2004 -- 12,2004,0,0,4,targha,35.394932,-5.014345,,
drowned,2004-12-29T00:00:00Z,2004 -- 12,2004,0,0,6,targha,35.394932,-5.014345,,
drowned,2000-05-29T00:00:00Z,2000 -- 5,2000,0,0,1,"Rinconcillo, Spain",37.667476,-4.882537,,
drowned,2009-07-26T00:00:00Z,2009 -- 7,2009,0,0,1,marbella,36.510071,-4.882447,,
drowned,2009-07-21T00:00:00Z,2009 -- 7,2009,0,0,1,marbella,36.510071,-4.882447,,
drowned,2011-09-13T00:00:00Z,2011 -- 9,2011,0,0,1,andalusia,37.544271,-4.727753,,
car accident,2009-12-31T00:00:00Z,2009 -- 12,2009,0,0,2,andalusia,37.544271,-4.727753,,
starved,2009-12-31T00:00:00Z,2009 -- 12,2009,0,0,13,andalusia,37.544271,-4.727753,,
starved,2007-05-10T00:00:00Z,2007 -- 5,2007,0,0,13,andalusia,37.544271,-4.727753,,
starved,2005-11-04T00:00:00Z,2005 -- 11,2005,0,0,1,andalusia,37.544271,-4.727753,,
fall,2011-10-23T00:00:00Z,2011 -- 10,2011,0,0,3,tarajal,36.704636,-4.506699,,
drowned,2011-02-02T00:00:00Z,2011 -- 2,2011,0,0,1,torremolinos,36.622554,-4.499477,,
starved,2009-08-16T00:00:00Z,2009 -- 8,2009,0,0,27,"Trafalgar beach, spain",36.697645,-4.443222,,
drowned,2009-07-23T00:00:00Z,2009 -- 7,2009,0,0,1,malaga,36.721261,-4.421266,,
drowned,2009-11-19T00:00:00Z,2009 -- 11,2009,0,0,1,malaga,36.721261,-4.421266,,
drowned,2008-07-22T00:00:00Z,2008 -- 7,2008,0,0,1,malaga,36.721261,-4.421266,,
drowned,2008-07-21T00:00:00Z,2008 -- 7,2008,0,0,1,malaga,36.721261,-4.421266,,
unknown,2007-04-03T00:00:00Z,2007 -- 4,2007,0,0,2,malaga,36.721261,-4.421266,,
car accident,2007-03-03T00:00:00Z,2007 -- 3,2007,0,0,2,malaga,36.721261,-4.421266,,
lack of medical care,2003-01-31T00:00:00Z,2003 -- 1,2003,0,0,3,malaga,36.721261,-4.421266,,
murdered,2003-01-31T00:00:00Z,2003 -- 1,2003,0,0,1,malaga,36.721261,-4.421266,,
asphyxiated,2002-09-06T00:00:00Z,2002 -- 9,2002,0,0,1,malaga,36.721261,-4.421266,,
frozen,2002-12-26T00:00:00Z,2002 -- 12,2002,0,0,3,malaga,36.721261,-4.421266,,
unknown,2000-08-06T00:00:00Z,2000 -- 8,2000,0,0,1,malaga,36.721261,-4.421266,,
drowned,2011-12-21T00:00:00Z,2011 -- 12,2011,0,0,1,Netherland,55.57156,-4.410332,,
drowned,2008-03-01T00:00:00Z,2008 -- 3,2008,0,0,1,Netherland,55.57156,-4.410332,,
burned,2007-06-28T00:00:00Z,2007 -- 6,2007,0,0,1,Netherland,55.57156,-4.410332,,
drowned,2006-10-26T00:00:00Z,2006 -- 10,2006,0,0,1,Netherland,55.57156,-4.410332,,
suicide - under train,2005-01-09T00:00:00Z,2005 -- 1,2005,0,0,1,Netherland,55.57156,-4.410332,,
shot by the police,2005-01-09T00:00:00Z,2005 -- 1,2005,0,0,2,Netherland,55.57156,-4.410332,,
drowned,2002-01-08T00:00:00Z,2002 -- 1,2002,0,0,1,Netherland,55.57156,-4.410332,,
drowned,2001-12-24T00:00:00Z,2001 -- 12,2001,0,0,1,Netherland,55.57156,-4.410332,,
fall,2000-04-22T00:00:00Z,2000 -- 4,2000,0,0,1,Netherland,55.57156,-4.410332,,
lack of medical care,2000-12-18T00:00:00Z,2000 -- 12,2000,0,0,1,Netherland,55.57156,-4.410332,,
shot by the police,2006-08-16T00:00:00Z,2006 -- 8,2006,0,0,1,"Knightswood, uk",55.899608,-4.360736,,
lack of medical care,2010-07-02T00:00:00Z,2010 -- 7,2010,0,0,2,glasgow,55.864237,-4.251806,,
shot by the police,2010-07-02T00:00:00Z,2010 -- 7,2010,0,0,1,glasgow,55.864237,-4.251806,,
drowned,2007-03-17T00:00:00Z,2007 -- 3,2007,0,0,1,glasgow,55.864237,-4.251806,,
unknown,2004-05-17T00:00:00Z,2004 -- 5,2004,0,0,1,glasgow,55.864237,-4.251806,,
drowned,2003-01-08T00:00:00Z,2003 -- 1,2003,0,0,1,glasgow,55.864237,-4.251806,,
drowned,2004-07-22T00:00:00Z,2004 -- 7,2004,0,0,1,scotland,56.490671,-4.202646,,
drowned,2004-01-04T00:00:00Z,2004 -- 1,2004,0,0,1,scotland,56.490671,-4.202646,,
drowned,2004-06-13T00:00:00Z,2004 -- 6,2004,0,0,1,"Valez malaga, spain",36.779923,-4.100559,,
asphyxiated,2012-05-02T00:00:00Z,2012 -- 5,2012,0,0,1,torre,36.744421,-4.092531,,
starved,2008-01-21T00:00:00Z,2008 -- 1,2008,0,0,2,torre,36.744421,-4.092531,,
shot by the police,2008-09-23T00:00:00Z,2008 -- 9,2008,0,0,21,mali,17.570692,-3.996166,,
shot by the police,2008-08-11T00:00:00Z,2008 -- 8,2008,0,0,2,mali,17.570692,-3.996166,,
drowned,2008-08-03T00:00:00Z,2008 -- 8,2008,0,0,75,mali,17.570692,-3.996166,,
drowned,2013-04-17T00:00:00Z,2013 -- 4,2013,0,0,10,hoceima,35.249299,-3.937112,,
drowned,2012-10-24T00:00:00Z,2012 -- 10,2012,0,0,54,Al Huceima,35.249299,-3.937112,,
starved,2010-09-03T00:00:00Z,2010 -- 9,2010,0,0,3,hoceima,35.249299,-3.937112,,
shot by the police,2009-01-30T00:00:00Z,2009 -- 1,2009,1,0,1,hoceima,35.249299,-3.937112,,
drowned,2008-05-05T00:00:00Z,2008 -- 5,2008,0,0,7,hoceima,35.249299,-3.937112,,
suicide - jumped from building,2006-01-22T00:00:00Z,2006 -- 1,2006,0,0,8,hoceima,35.249299,-3.937112,,
drowned,2005-07-01T00:00:00Z,2005 -- 7,2005,0,0,39,hoceima,35.249299,-3.937112,,
drowned,2004-09-08T00:00:00Z,2004 -- 9,2004,0,0,1,hoceima,35.249299,-3.937112,,
drowned,2002-08-17T00:00:00Z,2002 -- 8,2002,0,0,26,hoceima,35.249299,-3.937112,,
drowned,2007-06-13T00:00:00Z,2007 -- 6,2007,0,0,1,Greece to Great Britain,51.302229,-3.867187,,
drowned,2001-05-22T00:00:00Z,2001 -- 5,2001,0,0,1,"Soto del Real, spain",40.754548,-3.781521,,
drowned,2011-12-18T00:00:00Z,2011 -- 12,2011,0,0,1,aluche,40.385629,-3.76085,,
lack of medical care,2011-07-12T00:00:00Z,2011 -- 7,2011,0,0,1,spain,40.463667,-3.74922,,
murdered,2008-06-01T00:00:00Z,2008 -- 6,2008,0,0,1,spain,40.463667,-3.74922,,
suicide - hanged,2003-08-29T00:00:00Z,2003 -- 8,2003,0,0,1,Spain,40.463667,-3.74922,,
suicide - jumped from building,2002-01-25T00:00:00Z,2002 -- 1,2002,0,0,1,Spain,40.463667,-3.74922,,
suicide - jumped from building,2001-12-11T00:00:00Z,2001 -- 12,2001,0,0,1,Spain,40.463667,-3.74922,,
drowned,2000-06-07T00:00:00Z,2000 -- 6,2000,0,0,1,spain,40.463667,-3.74922,,
shot by the police,2003-01-10T00:00:00Z,2003 -- 1,2003,0,0,1,"Polmont Prison, UK",55.982071,-3.728159,,
lack of medical care,2008-02-11T00:00:00Z,2008 -- 2,2008,0,0,1,madrid,40.416775,-3.70379,,
drowned,2011-06-24T00:00:00Z,2011 -- 6,2011,0,0,1,granada,37.177336,-3.598557,,
murdered,2011-10-30T00:00:00Z,2011 -- 10,2011,0,0,1,granada,37.177336,-3.598557,,
executed,2010-11-06T00:00:00Z,2010 -- 11,2010,0,0,5,granada,37.177336,-3.598557,,
drowned,2009-02-20T00:00:00Z,2009 -- 2,2009,0,0,1,granada,37.177336,-3.598557,,
suicide - hanged,2008-08-01T00:00:00Z,2008 -- 8,2008,0,0,1,granada,37.177336,-3.598557,,
run over by a truck,2008-07-06T00:00:00Z,2008 -- 7,2008,0,0,14,granada,37.177336,-3.598557,,
shot by the police,2005-10-12T00:00:00Z,2005 -- 10,2005,0,0,1,"Grenada, spain",37.177336,-3.598557,,
fall,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,1,granada,37.177336,-3.598557,,
drowned,2004-04-22T00:00:00Z,2004 -- 4,2004,0,0,1,granada,37.177336,-3.598557,,
drowned,2004-04-21T00:00:00Z,2004 -- 4,2004,0,0,1,granada,37.177336,-3.598557,,
suicide - hanged,2003-12-04T00:00:00Z,2003 -- 12,2003,0,0,10,granada,37.177336,-3.598557,,
lack of medical care,2003-01-01T00:00:00Z,2003 -- 1,2003,0,0,1,granada,37.177336,-3.598557,,
drowned,2011-06-24T00:00:00Z,2011 -- 6,2011,0,0,45,"Motril, Granada",36.748374,-3.516861,,
drowned,2011-05-15T00:00:00Z,2011 -- 5,2011,0,0,1,motril,36.748374,-3.516861,,
drowned,2009-02-20T00:00:00Z,2009 -- 2,2009,0,0,1,"montril, spain",36.748374,-3.516861,,
lack of medical care,2009-01-01T00:00:00Z,2009 -- 1,2009,0,0,1,"Motril, spain",36.748374,-3.516861,,
drowned,2008-02-07T00:00:00Z,2008 -- 2,2008,0,0,1,"Motril, spain",36.748374,-3.516861,,
killed by bomb,2007-08-08T00:00:00Z,2007 -- 8,2007,0,0,1,"Motril, spain",36.748374,-3.516861,,
shot by the police,2006-08-22T00:00:00Z,2006 -- 8,2006,0,0,1,"Motril, spain",36.748374,-3.516861,,
unknown,2006-08-11T00:00:00Z,2006 -- 8,2006,0,0,2,"Motril, spain",36.748374,-3.516861,,
suicide - hungerstrike,2004-08-20T00:00:00Z,2004 -- 8,2004,0,0,2,"Motril, spain",36.748374,-3.516861,,
lack of medical care,2003-07-10T00:00:00Z,2003 -- 7,2003,0,0,8,"Motril, spain",36.748374,-3.516861,,
car accident,2003-07-10T00:00:00Z,2003 -- 7,2003,0,0,2,"Motril, spain",36.748374,-3.516861,,
lack of medical care,2003-11-07T00:00:00Z,2003 -- 11,2003,0,0,2,"Motril, spain",36.748374,-3.516861,,
shot by the police,2003-01-17T00:00:00Z,2003 -- 1,2003,0,0,2,"Motril, spain",36.748374,-3.516861,,
drowned,2011-05-21T00:00:00Z,2011 -- 5,2011,0,0,1,sacratif,36.695639,-3.465102,,
suicide - hanged,2007-09-08T00:00:00Z,2007 -- 9,2007,0,0,1,sacratif,36.695639,-3.465102,,
suicide - hanged,2010-08-02T00:00:00Z,2010 -- 8,2010,0,0,1,Great Britain,55.378051,-3.435973,,
shot by the police,2010-10-02T00:00:00Z,2010 -- 10,2010,0,0,1,Great Britain,55.378051,-3.435973,,
murdered,2009-08-15T00:00:00Z,2009 -- 8,2009,0,0,1,Great Britain,55.378051,-3.435973,,
car accident,2008-06-01T00:00:00Z,2008 -- 6,2008,0,0,1,Great Britain,55.378051,-3.435973,,
frozen,2008-05-07T00:00:00Z,2008 -- 5,2008,0,0,1,Great Britain,55.378051,-3.435973,,
frozen,2008-02-10T00:00:00Z,2008 -- 2,2008,0,0,1,Great Britain,55.378051,-3.435973,,
lack of medical care,2008-02-08T00:00:00Z,2008 -- 2,2008,0,0,1,Great Britain,55.378051,-3.435973,,
shot,2008-01-04T00:00:00Z,2008 -- 1,2008,0,0,1,Great Britain,55.378051,-3.435973,,
asphyxiated,2007-11-16T00:00:00Z,2007 -- 11,2007,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2007-01-09T00:00:00Z,2007 -- 1,2007,0,0,1,Great Britain,55.378051,-3.435973,,
crushed,2006-05-14T00:00:00Z,2006 -- 5,2006,0,0,1,Great Britain,55.378051,-3.435973,,
shot,2006-05-12T00:00:00Z,2006 -- 5,2006,0,0,1,Great Britain,55.378051,-3.435973,,
police violence,2006-03-08T00:00:00Z,2006 -- 3,2006,0,0,1,Great Britain,55.378051,-3.435973,,
car accident,2006-01-03T00:00:00Z,2006 -- 1,2006,0,0,1,Great Britain,55.378051,-3.435973,,
asphyxiated,2005-10-05T00:00:00Z,2005 -- 10,2005,0,0,1,Great Britain,55.378051,-3.435973,,
burned,2004-08-05T00:00:00Z,2004 -- 8,2004,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2004-06-24T00:00:00Z,2004 -- 6,2004,0,0,1,Great Britain,55.378051,-3.435973,,
shot by the police,2004-02-03T00:00:00Z,2004 -- 2,2004,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2004-11-08T00:00:00Z,2004 -- 11,2004,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2003-09-17T00:00:00Z,2003 -- 9,2003,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2003-05-04T00:00:00Z,2003 -- 5,2003,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2002-11-04T00:00:00Z,2002 -- 11,2002,0,0,1,Great Britain,55.378051,-3.435973,,
drowned,2000-01-02T00:00:00Z,2000 -- 1,2000,0,0,1,great britain,55.378051,-3.435973,,
drowned,2001-03-22T00:00:00Z,2001 -- 3,2001,0,0,1,darro,37.349816,-3.289259,,
drowned,2010-01-08T00:00:00Z,2010 -- 1,2010,0,0,3,"Alboran, spain",35.950486,-3.035088,,
car accident,2009-01-07T00:00:00Z,2009 -- 1,2009,0,0,1,"Alboran, spain",35.950486,-3.035088,,
murdered,2007-10-10T00:00:00Z,2007 -- 10,2007,0,0,3,"Alboran, spain",35.950486,-3.035088,,
drowned,2006-02-18T00:00:00Z,2006 -- 2,2006,0,0,2,Alboran,35.950486,-3.035088,,
shot by the police,2005-02-20T00:00:00Z,2005 -- 2,2005,0,0,1,"Alboran, spain",35.950486,-3.035088,,
unknown,2010-11-21T00:00:00Z,2010 -- 11,2010,0,0,2,Santurtzi,43.328128,-3.033659,,
murdered,2011-05-04T00:00:00Z,2011 -- 5,2011,0,0,25,adra,36.750191,-3.017606,,
lack of medical care,2005-12-09T00:00:00Z,2005 -- 12,2005,0,0,1,adra,36.750191,-3.017606,,
suicide - other,2005-10-30T00:00:00Z,2005 -- 10,2005,0,0,2,adra,36.750191,-3.017606,,
asphyxiated,2001-08-19T00:00:00Z,2001 -- 8,2001,0,0,1,"Cabo de Tres Forcas, Morocco",35.435,-2.993611,,
murdered,2010-02-04T00:00:00Z,2010 -- 2,2010,0,0,1,liverpool,53.408371,-2.991573,,
murdered,2000-01-03T00:00:00Z,2000 -- 1,2000,0,0,1,liverpool,53.408371,-2.991573,,
murdered,2013-07-24T00:00:00Z,2013 -- 7,2013,0,0,1,melilla,35.292278,-2.938097,,
unknown,2012-09-09T00:00:00Z,2012 -- 9,2012,0,0,2,melilla,35.292278,-2.938097,,
drowned,2012-08-09T00:00:00Z,2012 -- 8,2012,0,0,1,melilla,35.292278,-2.938097,,
unknown,2012-07-31T00:00:00Z,2012 -- 7,2012,0,0,1,melilla,35.292278,-2.938097,,
unknown,2012-02-02T00:00:00Z,2012 -- 2,2012,0,0,2,melilla,35.292278,-2.938097,,
drowned,2012-10-09T00:00:00Z,2012 -- 10,2012,0,0,5,melilla,35.292278,-2.938097,,
drowned,2012-01-19T00:00:00Z,2012 -- 1,2012,0,0,4,melilla,35.292278,-2.938097,,
drowned,2012-01-09T00:00:00Z,2012 -- 1,2012,0,0,1,melilla,35.292278,-2.938097,,
drowned,2011-11-01T00:00:00Z,2011 -- 11,2011,0,0,1,melilla,35.292278,-2.938097,,
drowned,2011-01-02T00:00:00Z,2011 -- 1,2011,0,0,3,melilla,35.292278,-2.938097,,
suicide - other,2008-08-04T00:00:00Z,2008 -- 8,2008,0,0,1,melilla,35.292278,-2.938097,,
drowned,2008-05-09T00:00:00Z,2008 -- 5,2008,0,0,1,melilla,35.292278,-2.938097,,
shot by the police,2008-05-07T00:00:00Z,2008 -- 5,2008,0,0,1,melilla,35.292278,-2.938097,,
drowned,2008-03-29T00:00:00Z,2008 -- 3,2008,0,0,1,melilla,35.292278,-2.938097,,
shot by the police,2008-03-28T00:00:00Z,2008 -- 3,2008,0,0,1,melilla,35.292278,-2.938097,,
suicide - hungerstrike,2008-12-31T00:00:00Z,2008 -- 12,2008,0,0,1,melilla,35.292278,-2.938097,,
frozen,2008-12-23T00:00:00Z,2008 -- 12,2008,0,0,1,melilla,35.292278,-2.938097,,
shot by the police,2008-10-04T00:00:00Z,2008 -- 10,2008,0,0,1,melilla,35.292278,-2.938097,,
police violence,2006-07-02T00:00:00Z,2006 -- 7,2006,0,0,3,melilla,35.292278,-2.938097,,
police violence,2006-03-15T00:00:00Z,2006 -- 3,2006,0,0,1,melilla,35.292278,-2.938097,,
fall,2006-03-11T00:00:00Z,2006 -- 3,2006,0,0,1,melilla,35.292278,-2.938097,,
suicide - hanged,2006-03-06T00:00:00Z,2006 -- 3,2006,0,0,3,melilla,35.292278,-2.938097,,
shot by the police,2006-12-23T00:00:00Z,2006 -- 12,2006,0,0,1,melilla,35.292278,-2.938097,,
run over by a truck,2006-12-07T00:00:00Z,2006 -- 12,2006,0,0,1,melilla,35.292278,-2.938097,,
unknown,2006-01-06T00:00:00Z,2006 -- 1,2006,0,0,1,melilla,35.292278,-2.938097,,
drowned,2005-09-14T00:00:00Z,2005 -- 9,2005,0,0,1,melilla,35.292278,-2.938097,,
drowned,2005-09-14T00:00:00Z,2005 -- 9,2005,0,0,1,melilla,35.292278,-2.938097,,
suicide - hanged,2005-09-11T00:00:00Z,2005 -- 9,2005,0,0,1,melilla,35.292278,-2.938097,,
suicide - other,2005-09-01T00:00:00Z,2005 -- 9,2005,0,0,1,melilla,35.292278,-2.938097,,
unknown,2005-08-28T00:00:00Z,2005 -- 8,2005,0,0,2,melilla,35.292278,-2.938097,,
starved,2005-06-09T00:00:00Z,2005 -- 6,2005,0,0,6,melilla,35.292278,-2.938097,,
fall,2005-10-05T00:00:00Z,2005 -- 10,2005,0,0,6,melilla,35.292278,-2.938097,,
drowned,2004-09-09T00:00:00Z,2004 -- 9,2004,0,0,1,melilla,35.292278,-2.938097,,
fall,2004-07-25T00:00:00Z,2004 -- 7,2004,0,0,1,melilla,35.292278,-2.938097,,
unknown,2004-03-31T00:00:00Z,2004 -- 3,2004,0,0,2,melilla,35.292278,-2.938097,,
unknown,2004-02-21T00:00:00Z,2004 -- 2,2004,0,0,1,melilla,35.292278,-2.938097,,
unknown,2004-12-16T00:00:00Z,2004 -- 12,2004,0,0,2,melilla,35.292278,-2.938097,,
police violence,2003-01-04T00:00:00Z,2003 -- 1,2003,0,0,1,melilla,35.292278,-2.938097,,
drowned,2003-01-01T00:00:00Z,2003 -- 1,2003,0,0,3,melilla,35.292278,-2.938097,,
fall,2002-06-07T00:00:00Z,2002 -- 6,2002,0,0,1,melilla,35.292278,-2.938097,,
shot by the police,2002-05-25T00:00:00Z,2002 -- 5,2002,0,0,1,melilla,35.292278,-2.938097,,
drowned,2002-03-14T00:00:00Z,2002 -- 3,2002,0,0,1,melilla,35.292278,-2.938097,,
police violence,2002-02-19T00:00:00Z,2002 -- 2,2002,0,0,3,melilla,35.292278,-2.938097,,
police violence,2001-05-23T00:00:00Z,2001 -- 5,2001,0,0,1,melilla,35.292278,-2.938097,,
heart failure,2001-03-15T00:00:00Z,2001 -- 3,2001,0,0,1,melilla,35.292278,-2.938097,,
unknown,2000-04-21T00:00:00Z,2000 -- 4,2000,0,0,1,melilla,35.292278,-2.938097,,
car accident,2000-11-30T00:00:00Z,2000 -- 11,2000,0,0,1,melilla,35.292278,-2.938097,,
unknown,2009-06-10T00:00:00Z,2009 -- 6,2009,0,0,1,bilbao,43.263013,-2.934985,,
unknown,2004-10-08T00:00:00Z,2004 -- 10,2004,0,0,1,enzar,35.256944,-2.934167,,
died from dehydration,2007-01-03T00:00:00Z,2007 -- 1,2007,0,0,13,"Nador, morocco",35.166667,-2.933333,,
unknown,2005-08-01T00:00:00Z,2005 -- 8,2005,0,0,1,"Mrirt, Nador, morocco",35.166667,-2.933333,,
murdered,2016-06-09T00:00:00Z,2016 -- 6,2016,1,0,1,Melilla,35.28,-2.93,,
suicide - other,2016-03-13T00:00:00Z,2016 -- 3,2016,1,0,1,Melilla,35.28,-2.93,,
shot by the police,2015-01-30T00:00:00Z,2015 -- 1,2015,8,0,8,"Boukana beach, near Nador",35.235482,-2.873268,,
unknown,2001-12-08T00:00:00Z,2001 -- 12,2001,0,0,3,"El Ejido, spain",36.774063,-2.815304,,
drowned,2000-05-11T00:00:00Z,2000 -- 5,2000,0,0,1,"El Ejido, Spain",36.774063,-2.815304,,
unknown,2007-01-28T00:00:00Z,2007 -- 1,2007,0,0,1,"preston, uk",53.763201,-2.70309,,
unknown,2015-08-03T00:00:00Z,2015 -- 8,2015,1,0,1,between Mellila and Almeria,36.1,-2.7,,
car accident,2015-12-26T00:00:00Z,2015 -- 12,2015,1,0,1,Roquetas de Mar,36.74585,-2.65693,,
suicide - hanged,2005-07-06T00:00:00Z,2005 -- 7,2005,0,0,1,bristol,51.454513,-2.58791,,
drowned,2002-07-04T00:00:00Z,2002 -- 7,2002,0,0,1,bristol,51.454513,-2.58791,,
unknown,2003-06-05T00:00:00Z,2003 -- 6,2003,0,0,2,salobre,38.592861,-2.549821,,
drowned,2003-05-05T00:00:00Z,2003 -- 5,2003,0,0,6,salobre,38.592861,-2.549821,,
drowned,2003-05-05T00:00:00Z,2003 -- 5,2003,0,0,2,salobre,38.592861,-2.549821,,
suicide - jumped in water,2014-12-06T00:00:00Z,2014 -- 12,2014,0,20,20,Off Almeria,36.3,-2.5,,
drowned,2003-06-06T00:00:00Z,2003 -- 6,2003,0,0,1,"Blackburn, UK",53.748575,-2.487529,,
lack of medical care,2011-08-30T00:00:00Z,2011 -- 8,2011,0,0,1,almeria,36.834047,-2.463714,,
