cause_of_death,date,Date-month,Year ,dead,missing,dead_and_missing,location,latitude,longitude,,
drowned,2008-10-15T00:00:00Z,2008 -- 10,2008,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2008-10-10T00:00:00Z,2008 -- 10,2008,0,0,1,tenerife,28.291564,-16.62913,,
ran over by a truck,2008-01-12T00:00:00Z,2008 -- 1,2008,0,0,3,canaria,28.291564,-16.62913,,
drowned,2007-09-22T00:00:00Z,2007 -- 9,2007,0,0,1,canary,28.291564,-16.62913,,
drowned,2007-09-06T00:00:00Z,2007 -- 9,2007,0,0,10,canaria,28.291564,-16.62913,,
illness,2007-08-20T00:00:00Z,2007 -- 8,2007,0,0,11,canary,28.291564,-16.62913,,
unknown,2007-08-20T00:00:00Z,2007 -- 8,2007,0,0,1,canaria,28.291564,-16.62913,,
unknown,2007-08-20T00:00:00Z,2007 -- 8,2007,0,0,13,canary,28.291564,-16.62913,,
drowned,2007-08-18T00:00:00Z,2007 -- 8,2007,0,0,1,canaria,28.291564,-16.62913,,
unknown,2007-08-02T00:00:00Z,2007 -- 8,2007,0,0,3,tenerife,28.291564,-16.62913,,
drowned,2007-07-18T00:00:00Z,2007 -- 7,2007,0,0,52,tenerife,28.291564,-16.62913,,
drowned,2007-07-18T00:00:00Z,2007 -- 7,2007,0,0,3,tenerife,28.291564,-16.62913,,
drowned,2007-07-16T00:00:00Z,2007 -- 7,2007,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2007-07-08T00:00:00Z,2007 -- 7,2007,0,0,10,canaria,28.291564,-16.62913,,
drowned,2007-07-03T00:00:00Z,2007 -- 7,2007,0,0,2,tenerife,28.291564,-16.62913,,
drowned,2007-06-26T00:00:00Z,2007 -- 6,2007,0,0,1,canaria,28.291564,-16.62913,,
drowned,2007-06-04T00:00:00Z,2007 -- 6,2007,0,0,2,canaria,28.291564,-16.62913,,
drowned,2007-05-05T00:00:00Z,2007 -- 5,2007,0,0,2,canary,28.291564,-16.62913,,
drowned,2007-04-29T00:00:00Z,2007 -- 4,2007,0,0,1,canaria,28.291564,-16.62913,,
drowned,2007-04-27T00:00:00Z,2007 -- 4,2007,0,0,3,canary,28.291564,-16.62913,,
fell off a train,2007-04-24T00:00:00Z,2007 -- 4,2007,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2007-04-24T00:00:00Z,2007 -- 4,2007,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2007-04-11T00:00:00Z,2007 -- 4,2007,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2007-04-11T00:00:00Z,2007 -- 4,2007,0,0,2,tenerife,28.291564,-16.62913,,
drowned,2007-04-06T00:00:00Z,2007 -- 4,2007,0,0,2,canary,28.291564,-16.62913,,
shot by border police,2007-03-07T00:00:00Z,2007 -- 3,2007,0,0,4,tenerife,28.291564,-16.62913,,
unknown,2007-12-04T00:00:00Z,2007 -- 12,2007,0,0,3,tenerife,28.291564,-16.62913,,
wounded,2007-11-30T00:00:00Z,2007 -- 11,2007,0,0,2,canary,28.291564,-16.62913,,
unknown,2007-11-12T00:00:00Z,2007 -- 11,2007,0,0,58,canaries,28.291564,-16.62913,,
wounded,2007-11-05T00:00:00Z,2007 -- 11,2007,0,0,56,canary,28.291564,-16.62913,,
drowned,2007-10-14T00:00:00Z,2007 -- 10,2007,0,0,1,tenerife,28.291564,-16.62913,,
unknown,2007-01-11T00:00:00Z,2007 -- 1,2007,0,0,50,canary,28.291564,-16.62913,,
murdered,2007-01-07T00:00:00Z,2007 -- 1,2007,0,0,2,canary,28.291564,-16.62913,,
disappeared,2007-01-03T00:00:00Z,2007 -- 1,2007,0,0,3,canary,28.291564,-16.62913,,
starved,2007-01-02T00:00:00Z,2007 -- 1,2007,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2006-09-26T00:00:00Z,2006 -- 9,2006,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2006-09-16T00:00:00Z,2006 -- 9,2006,0,0,1,canaries,28.291564,-16.62913,,
exposure,2006-09-15T00:00:00Z,2006 -- 9,2006,0,0,1,canary,28.291564,-16.62913,,
drowned,2006-08-31T00:00:00Z,2006 -- 8,2006,0,0,3,canary,28.291564,-16.62913,,
drowned,2006-08-26T00:00:00Z,2006 -- 8,2006,0,0,1,canary,28.291564,-16.62913,,
drowned,2006-08-25T00:00:00Z,2006 -- 8,2006,0,0,8,canary,28.291564,-16.62913,,
drowned,2006-08-21T00:00:00Z,2006 -- 8,2006,0,0,1,canary,28.291564,-16.62913,,
drowned,2006-08-16T00:00:00Z,2006 -- 8,2006,0,0,3,canary,28.291564,-16.62913,,
drowned,2006-08-13T00:00:00Z,2006 -- 8,2006,0,0,28,canary,28.291564,-16.62913,,
drowned,2006-08-10T00:00:00Z,2006 -- 8,2006,0,0,18,canary,28.291564,-16.62913,,
drowned,2006-08-03T00:00:00Z,2006 -- 8,2006,0,0,1,canary,28.291564,-16.62913,,
drowned,2006-07-27T00:00:00Z,2006 -- 7,2006,0,0,2,tenerife,28.291564,-16.62913,,
drowned,2006-07-27T00:00:00Z,2006 -- 7,2006,0,0,2,tenerife,28.291564,-16.62913,,
unknown,2006-07-26T00:00:00Z,2006 -- 7,2006,0,0,1,canary,28.291564,-16.62913,,
stabbed,2006-07-23T00:00:00Z,2006 -- 7,2006,0,0,2,canary,28.291564,-16.62913,,
drowned,2006-07-22T00:00:00Z,2006 -- 7,2006,0,0,4,canaria,28.291564,-16.62913,,
drowned,2006-07-22T00:00:00Z,2006 -- 7,2006,0,0,4,canary,28.291564,-16.62913,,
drowned,2006-07-21T00:00:00Z,2006 -- 7,2006,0,0,2,canary,28.291564,-16.62913,,
drowned,2006-07-21T00:00:00Z,2006 -- 7,2006,0,0,2,tenerife,28.291564,-16.62913,,
unknown,2006-07-20T00:00:00Z,2006 -- 7,2006,0,0,1,tenerife,28.291564,-16.62913,,
ran over by a truck,2006-07-06T00:00:00Z,2006 -- 7,2006,0,0,3,tenerife,28.291564,-16.62913,,
drowned,2006-07-06T00:00:00Z,2006 -- 7,2006,0,0,9,canary,28.291564,-16.62913,,
drowned,2006-06-06T00:00:00Z,2006 -- 6,2006,0,0,3,canary,28.291564,-16.62913,,
drowned,2006-05-09T00:00:00Z,2006 -- 5,2006,0,0,24,canary,28.291564,-16.62913,,
drowned,2006-04-07T00:00:00Z,2006 -- 4,2006,0,0,2,tenerife,28.291564,-16.62913,,
hypothermia,2006-04-03T00:00:00Z,2006 -- 4,2006,0,0,34,canary,28.291564,-16.62913,,
unknown,2006-04-02T00:00:00Z,2006 -- 4,2006,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2006-03-12T00:00:00Z,2006 -- 3,2006,0,0,12,canary,28.291564,-16.62913,,
drowned,2006-03-05T00:00:00Z,2006 -- 3,2006,0,0,45,canaries,28.291564,-16.62913,,
suffocation,2006-03-03T00:00:00Z,2006 -- 3,2006,0,0,1,tenerife,28.291564,-16.62913,,
exposure,2006-02-21T00:00:00Z,2006 -- 2,2006,0,0,4,canary,28.291564,-16.62913,,
suicide,2006-02-11T00:00:00Z,2006 -- 2,2006,0,0,1,tenerife,28.291564,-16.62913,,
drowned,2006-12-31T00:00:00Z,2006 -- 12,2006,0,0,3,canary,28.291564,-16.62913,,
drowned,2006-12-15T00:00:00Z,2006 -- 12,2006,0,0,126,canary,28.291564,-16.62913,,
drowned,2006-12-13T00:00:00Z,2006 -- 12,2006,0,0,5,canary,28.291564,-16.62913,,
unknown,2006-12-06T00:00:00Z,2006 -- 12,2006,0,0,2,canary,28.291564,-16.62913,,
drowned,2006-12-02T00:00:00Z,2006 -- 12,2006,0,0,12,canary,28.291564,-16.62913,,
drowned,2006-12-02T00:00:00Z,2006 -- 12,2006,0,0,1,tenerife,28.291564,-16.62913,,
exposure,2006-11-29T00:00:00Z,2006 -- 11,2006,0,0,1,canary,28.291564,-16.62913,,
drowned,2006-10-04T00:00:00Z,2006 -- 10,2006,0,0,20,canary,28.291564,-16.62913,,
drowned,2006-01-07T00:00:00Z,2006 -- 1,2006,0,0,28,canary,28.291564,-16.62913,,
drowned,2006-01-06T00:00:00Z,2006 -- 1,2006,0,0,11,canary,28.291564,-16.62913,,
car accident,2006-01-04T00:00:00Z,2006 -- 1,2006,0,0,11,canary,28.291564,-16.62913,,
car accident,2005-09-30T00:00:00Z,2005 -- 9,2005,0,0,17,canary,28.291564,-16.62913,,
car accident,2005-08-15T00:00:00Z,2005 -- 8,2005,0,0,2,tenerife,28.291564,-16.62913,,
drowned,2005-08-05T00:00:00Z,2005 -- 8,2005,0,0,23,canaries,28.291564,-16.62913,,
drowned,2005-06-19T00:00:00Z,2005 -- 6,2005,0,0,12,canary,28.291564,-16.62913,,
drowned,2005-06-14T00:00:00Z,2005 -- 6,2005,0,0,1,canaria,28.291564,-16.62913,,
drowned,2005-05-02T00:00:00Z,2005 -- 5,2005,0,0,1,canary,28.291564,-16.62913,,
drowned,2005-04-11T00:00:00Z,2005 -- 4,2005,0,0,14,canary,28.291564,-16.62913,,
drowned,2005-03-04T00:00:00Z,2005 -- 3,2005,0,0,1,canary,28.291564,-16.62913,,
drowned,2005-12-02T00:00:00Z,2005 -- 12,2005,0,0,50,canarias,28.291564,-16.62913,,
drowned,2005-11-27T00:00:00Z,2005 -- 11,2005,0,0,18,canaria,28.291564,-16.62913,,
car accident,2005-10-03T00:00:00Z,2005 -- 10,2005,0,0,2,canaria,28.291564,-16.62913,,
stabbed,2005-01-18T00:00:00Z,2005 -- 1,2005,0,0,10,canary,28.291564,-16.62913,,
drowned,2004-05-22T00:00:00Z,2004 -- 5,2004,0,0,4,canary,28.291564,-16.62913,,
drowned,2004-05-19T00:00:00Z,2004 -- 5,2004,0,0,5,canary,28.291564,-16.62913,,
drowned,2004-12-25T00:00:00Z,2004 -- 12,2004,0,0,1,canaria,28.291564,-16.62913,,
unknown,2004-12-25T00:00:00Z,2004 -- 12,2004,0,0,30,canary,28.291564,-16.62913,,
drowned,2004-12-23T00:00:00Z,2004 -- 12,2004,0,0,1,canaria,28.291564,-16.62913,,
drowned,2004-11-11T00:00:00Z,2004 -- 11,2004,0,0,7,canary,28.291564,-16.62913,,
drowned,2003-01-18T00:00:00Z,2003 -- 1,2003,0,0,26,canary,28.291564,-16.62913,,
tortured,2002-10-05T00:00:00Z,2002 -- 10,2002,0,0,5,canary,28.291564,-16.62913,,
tortured,2002-01-20T00:00:00Z,2002 -- 1,2002,0,0,16,canary,28.291564,-16.62913,,
drowned,2001-08-22T00:00:00Z,2001 -- 8,2001,0,0,9,canary,28.291564,-16.62913,,
drowned,2000-04-14T00:00:00Z,2000 -- 4,2000,0,0,5,canary,28.291564,-16.62913,,
drowned,2000-03-04T00:00:00Z,2000 -- 3,2000,0,0,12,canaries,28.291564,-16.62913,,
unknown,2000-02-18T00:00:00Z,2000 -- 2,2000,0,0,17,canary,28.291564,-16.62913,,
unknown,2008-01-28T00:00:00Z,2008 -- 1,2008,0,0,1,"la luz, spain",28.386856,-16.553251,,
unknown,2013-09-16T00:00:00Z,2013 -- 9,2013,0,0,1,punta,28.569022,-16.324539,,
drowned,2012-10-22T00:00:00Z,2012 -- 10,2012,0,0,1,punta,28.569022,-16.324539,,
stabbed,2011-04-01T00:00:00Z,2011 -- 4,2011,0,0,1,punta,28.569022,-16.324539,,
drowned,2011-02-03T00:00:00Z,2011 -- 2,2011,0,0,1,punta,28.569022,-16.324539,,
drowned,2011-10-12T00:00:00Z,2011 -- 10,2011,0,0,5,punta,28.569022,-16.324539,,
unknown,2008-07-08T00:00:00Z,2008 -- 7,2008,0,0,23,punta,28.569022,-16.324539,,
drowned,2008-05-31T00:00:00Z,2008 -- 5,2008,0,0,1,punta,28.569022,-16.324539,,
unknown,2005-03-24T00:00:00Z,2005 -- 3,2005,0,0,3,punta,28.569022,-16.324539,,
drowned,2005-03-24T00:00:00Z,2005 -- 3,2005,0,0,5,punta,28.569022,-16.324539,,
stabbed,2005-03-24T00:00:00Z,2005 -- 3,2005,0,0,1,punta,28.569022,-16.324539,,
asphyxiated,2004-08-07T00:00:00Z,2004 -- 8,2004,0,0,1,punta,28.569022,-16.324539,,
hit by a car,2004-07-29T00:00:00Z,2004 -- 7,2004,0,0,10,punta,28.569022,-16.324539,,
unknown,2006-08-28T00:00:00Z,2006 -- 8,2006,0,0,132,nouakchott,18.084061,-15.97842,,
electrocuted,2006-08-26T00:00:00Z,2006 -- 8,2006,0,0,20,nouakchott,18.084061,-15.97842,,
drowned,2008-08-27T00:00:00Z,2008 -- 8,2008,0,0,6,dakhla,23.69751,-15.93698,,
unknown,2008-03-26T00:00:00Z,2008 -- 3,2008,0,0,4,dakhla,23.69751,-15.93698,,
shot,2008-01-03T00:00:00Z,2008 -- 1,2008,0,0,4,dakhla,23.69751,-15.93698,,
drowned,2007-09-11T00:00:00Z,2007 -- 9,2007,0,0,50,dakhla,23.69751,-15.93698,,
drowned,2007-09-02T00:00:00Z,2007 -- 9,2007,0,0,32,dakhla,23.69751,-15.93698,,
shot by the police,2007-12-09T00:00:00Z,2007 -- 12,2007,0,0,50,dakhla,23.69751,-15.93698,,
unknown,2006-03-07T00:00:00Z,2006 -- 3,2006,0,0,1,dakhla,23.69751,-15.93698,,
burned,2005-09-20T00:00:00Z,2005 -- 9,2005,0,0,18,dakhla,23.69751,-15.93698,,
stabbed,2004-04-11T00:00:00Z,2004 -- 4,2004,0,0,12,dakhla,23.69751,-15.93698,,
hit by a car,2004-12-29T00:00:00Z,2004 -- 12,2004,0,0,1,agaete,28.100259,-15.699674,,
unknown,2008-09-03T00:00:00Z,2008 -- 9,2008,0,0,13,arguineguin,27.793611,-15.658889,,
unknown,2008-07-11T00:00:00Z,2008 -- 7,2008,0,0,1,arguineguin,27.793611,-15.658889,,
unknown,2008-01-08T00:00:00Z,2008 -- 1,2008,0,0,14,arguineguin,27.793611,-15.658889,,
hit by a train,2006-06-11T00:00:00Z,2006 -- 6,2006,0,0,1,arguineguin,27.793611,-15.658889,,
unknown,2006-06-11T00:00:00Z,2006 -- 6,2006,0,0,1,arguineguin,27.793611,-15.658889,,
unknown,2008-05-25T00:00:00Z,2008 -- 5,2008,0,0,3,tirajana,27.759555,-15.57903,,
hit by a train,2003-10-04T00:00:00Z,2003 -- 10,2003,0,0,2,tirajana,27.759555,-15.57903,,
